    T          rho           Zs         ZsV1         ZsV2         ZsV3         ZsV4         ZsV5         ZsV6          dG1          dG2          dG3          dG4          dG5          dG6
 0.01 9.135632e-02 2.258018e+190 1.110397e+185 2.304346e+189 1.701371e+190 2.170826e+190 2.243995e+190 2.255530e+190 1.466723e+00 1.603660e+00 1.671593e+00 1.676318e+00 1.677813e+00 1.677902e+00
2.000000e-02 9.095075e-02 1.486720e+94 3.408486e+91 4.787356e+93 1.292415e+94 1.458120e+94 1.482172e+94 1.485916e+94 1.458734e+00 1.594716e+00 1.661945e+00 1.666606e+00 1.668077e+00 1.668164e+00
3.000000e-02 9.054378e-02 1.684100e+62 2.996050e+60 7.954082e+61 1.535468e+62 1.662725e+62 1.680720e+62 1.683505e+62 1.450478e+00 1.585502e+00 1.652027e+00 1.656626e+00 1.658072e+00 1.658157e+00
4.000000e-02 9.013519e-02 2.039742e+46 1.011279e+45 1.166758e+46 1.904574e+46 2.020560e+46 2.036722e+46 2.039211e+46 1.442012e+00 1.576075e+00 1.641897e+00 1.646433e+00 1.647855e+00 1.647938e+00
5.000000e-02 8.972477e-02 6.209923e+36 5.694404e+35 3.984808e+36 5.881915e+36 6.163808e+36 6.202692e+36 6.208657e+36 1.433550e+00 1.566648e+00 1.631767e+00 1.636239e+00 1.637637e+00 1.637719e+00
6.000000e-02 8.931233e-02 2.959380e+30 4.091095e+29 2.050234e+30 2.829914e+30 2.941311e+30 2.956556e+30 2.958887e+30 1.424701e+00 1.556831e+00 1.621247e+00 1.625656e+00 1.627030e+00 1.627110e+00
7.000000e-02 8.889783e-02 9.368427e+25 1.738180e+25 6.855609e+25 9.019790e+25 9.320073e+25 9.360899e+25 9.367117e+25 1.414985e+00 1.546142e+00 1.609855e+00 1.614202e+00 1.615552e+00 1.615630e+00
8.000000e-02 8.848125e-02 4.065901e+22 9.405141e+21 3.100067e+22 3.934634e+22 4.047795e+22 4.063091e+22 4.065413e+22 1.405405e+00 1.535587e+00 1.598596e+00 1.602881e+00 1.604208e+00 1.604285e+00
9.000000e-02 8.806274e-02 1.007795e+20 2.769087e+19 7.933394e+19 9.791397e+19 1.003863e+20 1.007187e+20 1.007690e+20 1.395179e+00 1.524384e+00 1.586692e+00 1.590914e+00 1.592218e+00 1.592293e+00
1.000000e-01 8.764208e-02 8.441039e+17 2.661959e+17 6.816809e+17 8.227119e+17 8.411825e+17 8.436537e+17 8.440263e+17 1.384852e+00 1.513080e+00 1.574687e+00 1.578848e+00 1.580128e+00 1.580202e+00
1.100000e-01 8.721943e-02 1.711408e+16 6.040123e+15 1.411300e+16 1.672376e+16 1.706102e+16 1.710593e+16 1.711268e+16 1.374750e+00 1.502001e+00 1.562910e+00 1.567009e+00 1.568266e+00 1.568338e+00
1.200000e-01 8.679470e-02 6.726333e+14 2.610393e+14 5.644314e+14 6.587167e+14 6.707498e+14 6.723450e+14 6.725839e+14 1.363002e+00 1.489277e+00 1.549489e+00 1.553527e+00 1.554761e+00 1.554832e+00
1.300000e-01 8.636781e-02 4.394984e+13 1.846940e+13 3.742768e+13 4.311941e+13 4.383794e+13 4.393277e+13 4.394693e+13 1.352417e+00 1.477715e+00 1.537231e+00 1.541208e+00 1.542421e+00 1.542490e+00
1.400000e-01 8.593846e-02 4.278530e+12 1.927746e+12 3.689935e+12 4.204278e+12 4.268568e+12 4.277016e+12 4.278273e+12 1.339394e+00 1.463714e+00 1.522538e+00 1.526454e+00 1.527644e+00 1.527712e+00
1.500000e-01 8.550675e-02 5.726994e+11 2.730180e+11 4.993529e+11 5.635259e+11 5.714737e+11 5.725137e+11 5.726679e+11 1.333482e+00 1.456825e+00 1.514957e+00 1.518813e+00 1.519981e+00 1.520047e+00
1.600000e-01 8.507236e-02 9.925135e+10 5.006701e+10 8.737353e+10 9.777772e+10 9.905528e+10 9.922174e+10 9.924634e+10 1.313843e+00 1.436207e+00 1.493649e+00 1.497446e+00 1.498591e+00 1.498656e+00
1.700000e-01 8.463508e-02 2.127034e+10 1.119263e+10 1.888389e+10 2.097652e+10 2.123141e+10 2.126449e+10 2.126936e+10 1.309799e+00 1.431183e+00 1.487936e+00 1.491673e+00 1.492796e+00 1.492859e+00
1.800000e-01 8.419468e-02 5.439303e+09 2.983135e+09 4.865489e+09 5.369169e+09 5.430050e+09 5.437915e+09 5.439070e+09 1.297460e+00 1.417862e+00 1.473926e+00 1.477604e+00 1.478706e+00 1.478767e+00
