    T          rho           Zs         ZsV1         ZsV2         ZsV3         ZsV4         ZsV5         ZsV6          dG1          dG2          dG3          dG4          dG5          dG6
 0.01 9.132714e-02 1.811987e+190 4.253644e+185 5.415226e+189 1.589471e+190 1.780720e+190 1.807110e+190 1.811133e+190 1.279149e+00 1.351617e+00 1.383062e+00 1.385151e+00 1.385798e+00 1.385835e+00
2.000000e-02 9.092261e-02 1.338350e+94 6.722449e+91 7.348215e+93 1.254346e+94 1.326908e+94 1.336577e+94 1.338040e+94 1.270498e+00 1.342445e+00 1.373561e+00 1.375621e+00 1.376257e+00 1.376294e+00
3.000000e-02 9.051876e-02 1.579995e+62 4.743733e+60 1.062264e+62 1.513826e+62 1.571095e+62 1.578621e+62 1.579756e+62 1.262076e+00 1.333540e+00 1.364342e+00 1.366376e+00 1.367002e+00 1.367038e+00
4.000000e-02 9.011805e-02 1.957781e+46 1.436784e+45 1.456314e+46 1.896541e+46 1.949608e+46 1.956524e+46 1.957563e+46 1.253755e+00 1.324772e+00 1.355280e+00 1.357289e+00 1.357905e+00 1.357941e+00
5.000000e-02 8.972069e-02 6.052271e+36 7.594136e+35 4.783059e+36 5.901691e+36 6.032291e+36 6.049208e+36 6.051741e+36 1.245385e+00 1.315991e+00 1.346225e+00 1.348209e+00 1.348816e+00 1.348851e+00
6.000000e-02 8.932622e-02 2.917535e+30 5.234168e+29 2.400464e+30 2.857432e+30 2.909599e+30 2.916322e+30 2.917326e+30 1.237044e+00 1.307271e+00 1.337246e+00 1.339207e+00 1.339806e+00 1.339840e+00
7.000000e-02 8.893415e-02 9.321639e+25 2.159509e+25 7.892866e+25 9.158127e+25 9.300141e+25 9.318364e+25 9.321076e+25 1.228464e+00 1.298344e+00 1.328074e+00 1.330014e+00 1.330604e+00 1.330638e+00
8.000000e-02 8.854399e-02 4.077225e+22 1.144318e+22 3.527199e+22 4.015059e+22 4.069084e+22 4.075988e+22 4.077013e+22 1.219784e+00 1.289342e+00 1.318842e+00 1.320760e+00 1.321343e+00 1.321376e+00
9.000000e-02 8.815533e-02 1.017485e+20 3.315058e+19 8.950027e+19 1.003785e+20 1.015698e+20 1.017214e+20 1.017439e+20 1.211160e+00 1.280421e+00 1.309703e+00 1.311602e+00 1.312177e+00 1.312210e+00
1.000000e-01 8.776778e-02 8.573997e+17 3.149519e+17 7.642717e+17 8.470755e+17 8.560574e+17 8.571969e+17 8.573651e+17 1.201781e+00 1.270769e+00 1.299844e+00 1.301724e+00 1.302291e+00 1.302324e+00
1.100000e-01 8.738098e-02 1.747971e+16 7.080736e+15 1.575085e+16 1.728955e+16 1.745507e+16 1.747599e+16 1.747907e+16 1.192835e+00 1.261571e+00 1.290448e+00 1.292310e+00 1.292871e+00 1.292903e+00
1.200000e-01 8.699460e-02 6.904958e+14 3.037420e+14 6.278276e+14 6.836516e+14 6.896120e+14 6.903630e+14 6.904733e+14 1.182573e+00 1.251077e+00 1.279766e+00 1.281610e+00 1.282164e+00 1.282195e+00
1.300000e-01 8.660837e-02 4.533036e+13 2.132949e+13 4.153042e+13 4.491803e+13 4.527729e+13 4.532241e+13 4.532901e+13 1.176063e+00 1.244352e+00 1.272861e+00 1.274689e+00 1.275236e+00 1.275267e+00
1.400000e-01 8.622204e-02 4.432494e+12 2.219746e+12 4.087364e+12 4.395269e+12 4.427718e+12 4.431781e+12 4.432373e+12 1.161837e+00 1.229929e+00 1.258266e+00 1.260077e+00 1.260618e+00 1.260649e+00
1.500000e-01 8.583535e-02 5.957905e+11 3.141045e+11 5.524888e+11 5.911464e+11 5.951966e+11 5.957020e+11 5.957756e+11 1.152294e+00 1.220204e+00 1.248376e+00 1.250171e+00 1.250706e+00 1.250736e+00
1.600000e-01 8.544808e-02 1.036626e+11 5.727545e+10 9.659972e+10 1.029092e+11 1.035666e+11 1.036483e+11 1.036602e+11 1.139077e+00 1.206821e+00 1.234833e+00 1.236613e+00 1.237141e+00 1.237171e+00
1.700000e-01 8.506003e-02 2.229953e+10 1.283486e+10 2.086976e+10 2.214778e+10 2.228025e+10 2.229667e+10 2.229905e+10 1.126897e+00 1.194487e+00 1.222346e+00 1.224111e+00 1.224633e+00 1.224662e+00
1.800000e-01 8.467098e-02 5.723012e+09 3.398563e+09 5.376528e+09 5.686418e+09 5.718377e+09 5.722327e+09 5.722897e+09 1.125668e+00 1.193117e+00 1.220828e+00 1.222578e+00 1.223095e+00 1.223123e+00
