    T          rho           Zs         ZsV1         ZsV2         ZsV3         ZsV4         ZsV5         ZsV6          dG1          dG2          dG3          dG4          dG5          dG6
  0.3 1.015304e+00 2.052792e+07 4.806018e+06 1.443944e+07 1.906451e+07 2.045494e+07 2.052792e+07 2.052792e+07 5.226901e+00 5.860182e+00 6.392674e+00 6.405495e+00 6.405495e+00 6.405495e+00
3.500000e-01 1.005981e+00 9.165133e+05 2.694922e+05 6.815160e+05 8.617523e+05 9.139676e+05 9.165133e+05 9.165133e+05 5.140957e+00 5.763096e+00 6.280609e+00 6.292292e+00 6.292292e+00 6.292292e+00
4.000000e-01 9.966885e-01 9.176292e+04 3.201608e+04 7.113458e+04 8.708129e+04 9.155931e+04 9.176292e+04 9.176292e+04 5.054257e+00 5.665380e+00 6.168096e+00 6.178758e+00 6.178758e+00 6.178758e+00
4.500000e-01 9.870208e-01 1.569490e+04 6.259334e+03 1.256882e+04 1.500231e+04 1.566680e+04 1.569490e+04 1.569490e+04 4.964015e+00 5.563729e+00 6.051150e+00 6.060827e+00 6.060827e+00 6.060827e+00
5.000000e-01 9.770552e-01 3.897903e+03 1.731178e+03 3.204097e+03 3.747631e+03 3.892178e+03 3.897903e+03 3.897903e+03 4.869821e+00 5.457846e+00 5.929623e+00 5.938443e+00 5.938443e+00 5.938443e+00
5.500000e-01 9.667513e-01 1.268124e+03 6.154817e+02 1.065015e+03 1.225088e+03 1.266599e+03 1.268124e+03 1.268124e+03 4.771063e+00 5.347077e+00 5.802810e+00 5.810748e+00 5.810748e+00 5.810748e+00
6.000000e-01 9.562083e-01 5.046186e+02 2.638795e+02 4.314650e+02 4.894511e+02 5.041107e+02 5.046186e+02 5.046186e+02 4.667834e+00 5.231653e+00 5.671118e+00 5.678369e+00 5.678369e+00 5.678369e+00
6.500000e-01 9.455187e-01 2.342689e+02 1.305833e+02 2.033734e+02 2.280000e+02 2.340720e+02 2.342689e+02 2.342689e+02 4.558776e+00 5.110337e+00 5.533472e+00 5.540030e+00 5.540030e+00 5.540030e+00
7.000000e-01 9.342476e-01 1.227023e+02 7.201180e+01 1.079312e+02 1.197721e+02 1.226163e+02 1.227023e+02 1.227023e+02 4.476621e+00 5.015343e+00 5.421407e+00 5.427296e+00 5.427296e+00 5.427296e+00
7.500000e-01 9.225803e-01 7.075290e+01 4.357018e+01 6.295410e+01 6.924189e+01 7.071194e+01 7.075290e+01 7.075290e+01 4.363386e+00 4.888930e+00 5.277506e+00 5.282718e+00 5.282718e+00 5.282718e+00
8.000000e-01 9.101636e-01 4.410167e+01 2.849130e+01 3.964274e+01 4.325959e+01 4.408005e+01 4.410167e+01 4.410167e+01 4.194228e+00 4.705859e+00 5.076011e+00 5.080720e+00 5.080720e+00 5.080720e+00
8.500000e-01 8.970035e-01 2.930851e+01 1.969138e+01 2.658702e+01 2.880874e+01 2.929657e+01 2.930851e+01 2.930851e+01 4.056510e+00 4.553531e+00 4.904397e+00 4.908555e+00 4.908555e+00 4.908555e+00
9.000000e-01 8.832505e-01 2.054292e+01 1.430604e+01 1.878899e+01 2.023052e+01 2.053599e+01 2.054292e+01 2.054292e+01 3.907810e+00 4.389734e+00 4.720727e+00 4.724369e+00 4.724369e+00 4.724369e+00
9.500000e-01 8.683201e-01 1.506060e+01 1.084031e+01 1.387902e+01 1.485732e+01 1.505647e+01 1.506060e+01 1.506060e+01 3.748439e+00 4.214149e+00 4.523979e+00 4.527100e+00 4.527100e+00 4.527100e+00
1.000000e+00 8.516440e-01 1.147366e+01 8.521910e+00 1.064849e+01 1.133739e+01 1.147112e+01 1.147366e+01 1.147366e+01 3.568959e+00 4.016775e+00 4.303527e+00 4.306184e+00 4.306184e+00 4.306184e+00
1.050000e+00 8.321649e-01 9.037620e+00 6.918779e+00 8.445101e+00 8.944548e+00 9.036095e+00 9.037620e+00 9.037620e+00 3.366173e+00 3.793372e+00 4.054234e+00 4.056359e+00 4.056359e+00 4.056359e+00
1.100000e+00 8.086704e-01 7.332656e+00 5.786600e+00 6.898543e+00 7.268847e+00 7.331748e+00 7.332656e+00 7.332656e+00 3.125667e+00 3.528449e+00 3.759187e+00 3.760822e+00 3.760822e+00 3.760822e+00
1.150000e+00 7.775010e-01 6.113363e+00 5.015835e+00 5.793194e+00 6.070319e+00 6.112880e+00 6.113363e+00 6.113363e+00 2.730703e+00 3.101876e+00 3.296892e+00 3.297982e+00 3.297982e+00 3.297982e+00
