    T          rho           Zs         ZsV1         ZsV2         ZsV3         ZsV4         ZsV5         ZsV6          dG1          dG2          dG3          dG4          dG5          dG6
 0.01 9.119072e-02 2.595241e+190 1.076624e+185 5.428722e+189 1.938143e+190 3.165125e+190 2.740343e+190 2.595241e+190 1.487133e+00 1.581007e+00 1.651074e+00 1.627253e+00 1.614196e+00 1.614196e+00
2.000000e-02 9.080921e-02 1.577342e+94 3.170180e+91 7.210068e+93 1.368820e+94 1.737665e+94 1.618188e+94 1.577342e+94 1.490330e+00 1.584272e+00 1.652332e+00 1.629099e+00 1.616827e+00 1.616827e+00
3.000000e-02 9.044271e-02 1.695351e+62 2.683713e+60 1.005746e+62 1.546524e+62 1.805746e+62 1.722930e+62 1.695351e+62 1.492509e+00 1.586498e+00 1.652651e+00 1.629941e+00 1.618323e+00 1.618323e+00
4.000000e-02 9.008761e-02 1.974706e+46 8.787414e+44 1.334528e+46 1.846731e+46 2.068371e+46 1.997582e+46 1.974706e+46 1.493889e+00 1.587931e+00 1.652254e+00 1.630010e+00 1.618952e+00 1.618952e+00
5.000000e-02 8.974050e-02 5.829194e+36 4.828554e+35 4.259676e+36 5.533150e+36 6.045134e+36 5.880738e+36 5.829194e+36 1.494550e+00 1.588656e+00 1.651202e+00 1.629377e+00 1.618812e+00 1.618812e+00
6.000000e-02 8.939866e-02 2.708633e+30 3.397960e+29 2.085144e+30 2.596636e+30 2.790524e+30 2.727740e+30 2.708633e+30 1.494615e+00 1.588793e+00 1.649601e+00 1.628155e+00 1.618033e+00 1.618033e+00
7.000000e-02 8.905997e-02 8.395024e+25 1.417402e+25 6.707404e+25 8.104850e+25 8.608564e+25 8.443735e+25 8.395024e+25 1.494203e+00 1.588463e+00 1.647560e+00 1.626460e+00 1.616740e+00 1.616740e+00
8.000000e-02 8.872270e-02 3.578331e+22 7.553927e+21 2.939783e+22 3.472926e+22 3.656638e+22 3.595797e+22 3.578331e+22 1.493197e+00 1.587547e+00 1.644953e+00 1.624171e+00 1.614822e+00 1.614822e+00
9.000000e-02 8.838552e-02 8.732625e+19 2.193246e+19 7.331364e+19 8.510193e+19 8.899874e+19 8.769103e+19 8.732625e+19 1.492218e+00 1.586666e+00 1.642398e+00 1.621909e+00 1.612905e+00 1.612905e+00
1.000000e-01 8.804741e-02 7.216043e+17 2.084674e+17 6.163915e+17 7.055293e+17 7.338638e+17 7.242190e+17 7.216043e+17 1.490033e+00 1.584590e+00 1.638659e+00 1.618443e+00 1.609762e+00 1.609762e+00
1.100000e-01 8.770799e-02 1.445865e+16 4.682351e+15 1.252645e+16 1.417440e+16 1.467896e+16 1.450460e+16 1.445865e+16 1.488291e+00 1.582968e+00 1.635387e+00 1.615426e+00 1.607050e+00 1.607050e+00
1.200000e-01 8.736633e-02 5.624129e+14 2.005586e+14 4.930224e+14 5.525833e+14 5.701678e+14 5.639945e+14 5.624129e+14 1.484827e+00 1.579638e+00 1.630418e+00 1.610699e+00 1.602611e+00 1.602611e+00
1.300000e-01 8.702182e-02 3.641555e+13 1.408487e+13 3.224149e+13 3.584629e+13 3.687338e+13 3.650685e+13 3.641555e+13 1.481836e+00 1.576794e+00 1.625952e+00 1.606461e+00 1.598649e+00 1.598649e+00
1.400000e-01 8.667392e-02 3.516916e+12 1.458931e+12 3.140384e+12 3.467504e+12 3.557491e+12 3.524829e+12 3.516916e+12 1.478199e+00 1.573320e+00 1.620863e+00 1.601592e+00 1.594041e+00 1.594041e+00
1.500000e-01 8.632230e-02 4.674776e+11 2.061153e+11 4.205075e+11 4.615494e+11 4.724534e+11 4.684266e+11 4.674776e+11 1.474049e+00 1.569349e+00 1.615293e+00 1.596236e+00 1.588935e+00 1.588935e+00
1.600000e-01 8.596652e-02 8.052349e+10 3.745896e+10 7.289895e+10 7.959858e+10 8.131794e+10 8.067168e+10 8.052349e+10 1.469382e+00 1.564877e+00 1.609240e+00 1.590390e+00 1.583330e+00 1.583330e+00
1.700000e-01 8.560641e-02 1.716578e+10 8.374513e+09 1.562835e+10 1.698666e+10 1.732339e+10 1.719454e+10 1.716578e+10 1.464159e+00 1.559867e+00 1.602666e+00 1.584021e+00 1.577191e+00 1.577191e+00
1.800000e-01 8.524174e-02 4.369746e+09 2.224531e+09 3.998312e+09 4.328215e+09 4.407212e+09 4.376436e+09 4.369746e+09 1.458343e+00 1.554282e+00 1.595536e+00 1.577095e+00 1.570487e+00 1.570487e+00
