    r     rho_a(r)         V(r)  F(rho_a(r))
    6  1.64034e-07  1.89847e-06 -0.000332371
5.994   1.6732e-07  1.94006e-06 -0.000339031
5.988  1.70672e-07  1.98257e-06 -0.000345821
5.982  1.74089e-07    2.026e-06 -0.000352746
5.976  1.77574e-07  2.07039e-06 -0.000359807
 5.97  1.81128e-07  2.11575e-06 -0.000367007
5.964  1.84751e-07   2.1621e-06 -0.000374349
5.958  1.88446e-07  2.20946e-06 -0.000381836
5.952  1.92214e-07  2.25786e-06  -0.00038947
5.946  1.96055e-07  2.30733e-06 -0.000397255
 5.94  1.99973e-07  2.35787e-06 -0.000405192
5.934  2.03967e-07  2.40952e-06 -0.000413286
5.928   2.0804e-07   2.4623e-06 -0.000421538
5.922  2.12193e-07  2.51624e-06 -0.000429953
5.916  2.16427e-07  2.57135e-06 -0.000438533
 5.91  2.20745e-07  2.62767e-06 -0.000447282
5.904  2.25148e-07  2.68523e-06 -0.000456202
5.898  2.29637e-07  2.74404e-06 -0.000465298
5.892  2.34213e-07  2.80414e-06 -0.000474571
5.886   2.3888e-07  2.86556e-06 -0.000484027
 5.88  2.43638e-07  2.92832e-06 -0.000493668
5.874   2.4849e-07  2.99245e-06 -0.000503498
5.868  2.53436e-07  3.05799e-06 -0.000513521
5.862  2.58479e-07  3.12496e-06  -0.00052374
5.856  2.63621e-07  3.19339e-06 -0.000534159
 5.85  2.68864e-07  3.26333e-06 -0.000544781
5.844  2.74209e-07  3.33479e-06 -0.000555612
5.838  2.79659e-07  3.40782e-06 -0.000566654
5.832  2.85215e-07  3.48244e-06 -0.000577912
5.826   2.9088e-07   3.5587e-06  -0.00058939
 5.82  2.96655e-07  3.63662e-06 -0.000601093
5.814  3.02544e-07  3.71625e-06 -0.000613024
5.808  3.08547e-07  3.79762e-06 -0.000625187
5.802  3.14667e-07  3.88078e-06 -0.000637588
5.796  3.20907e-07  3.96575e-06 -0.000650231
 5.79  3.27268e-07  4.05257e-06 -0.000663121
5.784  3.33753e-07   4.1413e-06 -0.000676261
5.778  3.40365e-07  4.23197e-06 -0.000689658
5.772  3.47105e-07  4.32463e-06 -0.000703315
5.766  3.53977e-07   4.4193e-06 -0.000717239
 5.76  3.60982e-07  4.51606e-06 -0.000731433
5.754  3.68124e-07  4.61492e-06 -0.000745903
5.748  3.75405e-07  4.71595e-06 -0.000760655
5.742  3.82827e-07  4.81919e-06 -0.000775694
5.736  3.90393e-07  4.92468e-06 -0.000791024
 5.73  3.98106e-07  5.03249e-06 -0.000806653
5.724  4.05969e-07  5.14265e-06 -0.000822585
5.718  4.13985e-07  5.25522e-06 -0.000838826
5.712  4.22156e-07  5.37025e-06 -0.000855383
5.706  4.30485e-07   5.4878e-06  -0.00087226
  5.7  4.38977e-07  5.60791e-06 -0.000889464
5.694  4.47632e-07  5.73066e-06 -0.000907002
5.688  4.56456e-07  5.85609e-06  -0.00092488
5.682   4.6545e-07  5.98426e-06 -0.000943104
5.676  4.74618e-07  6.11523e-06 -0.000961681
 5.67  4.83964e-07  6.24907e-06 -0.000980617
5.664   4.9349e-07  6.38583e-06 -0.000999919
5.658  5.03201e-07  6.52558e-06  -0.00101959
5.652  5.13099e-07  6.66839e-06  -0.00103965
5.646  5.23189e-07  6.81432e-06  -0.00106009
 5.64  5.33473e-07  6.96345e-06  -0.00108093
5.634  5.43956e-07  7.11583e-06  -0.00110217
5.628  5.54641e-07  7.27154e-06  -0.00112382
5.622  5.65533e-07  7.43066e-06  -0.00114589
5.616  5.76634e-07  7.59325e-06  -0.00116838
 5.61  5.87949e-07   7.7594e-06  -0.00119131
5.604  5.99483e-07  7.92919e-06  -0.00121468
5.598  6.11238e-07  8.10268e-06   -0.0012385
5.592   6.2322e-07  8.27997e-06  -0.00126277
5.586  6.35432e-07  8.46113e-06  -0.00128752
 5.58   6.4788e-07  8.64625e-06  -0.00131274
5.574  6.60566e-07  8.83542e-06  -0.00133844
5.568  6.73497e-07  9.02872e-06  -0.00136464
5.562  6.86675e-07  9.22624e-06  -0.00139134
5.556  7.00107e-07  9.42809e-06  -0.00141856
 5.55  7.13797e-07  9.63434e-06  -0.00144629
5.544  7.27749e-07  9.84511e-06  -0.00147456
5.538  7.41969e-07  1.00605e-05  -0.00150337
5.532  7.56462e-07  1.02806e-05  -0.00153274
5.526  7.71233e-07  1.05054e-05  -0.00156266
 5.52  7.86286e-07  1.07352e-05  -0.00159316
5.514  8.01628e-07  1.09701e-05  -0.00162425
5.508  8.17263e-07    1.121e-05  -0.00165592
5.502  8.33197e-07  1.14552e-05  -0.00168821
5.496  8.49437e-07  1.17058e-05  -0.00172111
 5.49  8.65986e-07  1.19618e-05  -0.00175464
5.484  8.82852e-07  1.22234e-05  -0.00178881
5.478   9.0004e-07  1.24908e-05  -0.00182363
5.472  9.17557e-07  1.27639e-05  -0.00185912
5.466  9.35407e-07  1.30431e-05  -0.00189529
 5.46  9.53598e-07  1.33283e-05  -0.00193214
5.454  9.72136e-07  1.36198e-05   -0.0019697
5.448  9.91028e-07  1.39177e-05  -0.00200798
5.442  1.01028e-06   1.4222e-05  -0.00204698
5.436   1.0299e-06   1.4533e-05  -0.00208672
 5.43  1.04989e-06  1.48508e-05  -0.00212722
5.424  1.07026e-06  1.51756e-05   -0.0021685
5.418  1.09102e-06  1.55074e-05  -0.00221055
5.412  1.11217e-06  1.58465e-05  -0.00225341
5.406  1.13373e-06   1.6193e-05  -0.00229708
  5.4  1.15569e-06   1.6547e-05  -0.00234158
5.394  1.17808e-06  1.69088e-05  -0.00238692
5.388  1.20088e-06  1.72785e-05  -0.00243313
5.382  1.22412e-06  1.76563e-05  -0.00248021
5.376   1.2478e-06  1.80423e-05  -0.00252818
 5.37  1.27193e-06  1.84368e-05  -0.00257706
5.364  1.29652e-06  1.88399e-05  -0.00262687
5.358  1.32157e-06  1.92517e-05  -0.00267762
5.352   1.3471e-06  1.96726e-05  -0.00272933
5.346  1.37311e-06  2.01027e-05  -0.00278202
 5.34  1.39961e-06  2.05421e-05  -0.00283571
5.334  1.42661e-06  2.09912e-05  -0.00289041
5.328  1.45412e-06    2.145e-05  -0.00294614
5.322  1.48216e-06  2.19189e-05  -0.00300292
5.316  1.51072e-06   2.2398e-05  -0.00306078
 5.31  1.53982e-06  2.28876e-05  -0.00311972
5.304  1.56947e-06  2.33878e-05  -0.00317978
5.298  1.59967e-06   2.3899e-05  -0.00324097
5.292  1.63045e-06  2.44214e-05  -0.00330331
5.286  1.66181e-06  2.49551e-05  -0.00336682
 5.28  1.69376e-06  2.55005e-05  -0.00343153
5.274   1.7263e-06  2.60578e-05  -0.00349746
5.268  1.75947e-06  2.66273e-05  -0.00356463
5.262  1.79325e-06  2.72093e-05  -0.00363305
5.256  1.82767e-06  2.78039e-05  -0.00370276
 5.25  1.86273e-06  2.84115e-05  -0.00377378
5.244  1.89846e-06  2.90323e-05  -0.00384614
5.238  1.93485e-06  2.96668e-05  -0.00391984
5.232  1.97193e-06   3.0315e-05  -0.00399493
5.226   2.0097e-06  3.09775e-05  -0.00407143
 5.22  2.04818e-06  3.16543e-05  -0.00414936
5.214  2.08738e-06   3.2346e-05  -0.00422875
5.208  2.12732e-06  3.30527e-05  -0.00430962
5.202    2.168e-06  3.37749e-05    -0.004392
5.196  2.20944e-06  3.45129e-05  -0.00447592
 5.19  2.25166e-06  3.52669e-05  -0.00456141
5.184  2.29467e-06  3.60374e-05  -0.00464849
5.178  2.33848e-06  3.68247e-05   -0.0047372
5.172   2.3831e-06  3.76293e-05  -0.00482756
5.166  2.42856e-06  3.84513e-05  -0.00491961
 5.16  2.47487e-06  3.92913e-05  -0.00501337
5.154  2.52204e-06  4.01497e-05  -0.00510887
5.148  2.57009e-06  4.10267e-05  -0.00520615
5.142  2.61904e-06  4.19229e-05  -0.00530524
5.136   2.6689e-06  4.28387e-05  -0.00540617
 5.13  2.71968e-06  4.37744e-05  -0.00550897
5.124  2.77141e-06  4.47306e-05  -0.00561369
5.118   2.8241e-06  4.57076e-05  -0.00572034
5.112  2.87777e-06   4.6706e-05  -0.00582897
5.106  2.93243e-06  4.77261e-05  -0.00593962
  5.1  2.98811e-06  4.87685e-05  -0.00605231
5.094  3.04483e-06  4.98336e-05  -0.00616709
5.088  3.10259e-06   5.0922e-05    -0.006284
5.082  3.16143e-06  5.20341e-05  -0.00640306
5.076  3.22135e-06  5.31705e-05  -0.00652432
 5.07  3.28239e-06  5.43317e-05  -0.00664782
5.064  3.34455e-06  5.55182e-05  -0.00677361
5.058  3.40786e-06  5.67305e-05  -0.00690171
5.052  3.47235e-06  5.79694e-05  -0.00703217
5.046  3.53802e-06  5.92352e-05  -0.00716503
 5.04  3.60491e-06  6.05287e-05  -0.00730034
5.034  3.67303e-06  6.18504e-05  -0.00743814
5.028  3.74241e-06  6.32009e-05  -0.00757847
5.022  3.81307e-06  6.45809e-05  -0.00772138
5.016  3.88503e-06  6.59909e-05  -0.00786691
