    r     rho_a(r)         V(r)  F(rho_a(r))
    6  9.30166e-08            0 -2.62896e-05
5.994  9.48803e-08            0 -2.68163e-05
5.988  9.67807e-08            0 -2.73534e-05
5.982  9.87186e-08            0 -2.79011e-05
5.976  1.00695e-07            0 -2.84597e-05
 5.97   1.0271e-07            0 -2.90292e-05
5.964  1.04765e-07            0 -2.96099e-05
5.958   1.0686e-07            0 -3.02021e-05
5.952  1.08996e-07            0 -3.08059e-05
5.946  1.11175e-07            0 -3.14216e-05
 5.94  1.13396e-07            0 -3.20495e-05
5.934  1.15661e-07            0 -3.26897e-05
5.928  1.17971e-07            0 -3.33424e-05
5.922  1.20326e-07            0  -3.4008e-05
5.916  1.22727e-07            0 -3.46867e-05
 5.91  1.25175e-07            0 -3.53787e-05
5.904  1.27672e-07            0 -3.60842e-05
5.898  1.30217e-07            0 -3.68037e-05
5.892  1.32813e-07            0 -3.75372e-05
5.886  1.35459e-07            0 -3.82851e-05
 5.88  1.38157e-07            0 -3.90477e-05
5.874  1.40908e-07            0 -3.98253e-05
5.868  1.43713e-07            0  -4.0618e-05
5.862  1.46573e-07            0 -4.14263e-05
5.856  1.49489e-07            0 -4.22504e-05
 5.85  1.52461e-07            0 -4.30906e-05
5.844  1.55492e-07            0 -4.39473e-05
5.838  1.58583e-07            0 -4.48207e-05
5.832  1.61734e-07            0 -4.57112e-05
5.826  1.64946e-07            0 -4.66191e-05
 5.82  1.68221e-07            0 -4.75448e-05
5.814   1.7156e-07            0 -4.84885e-05
5.808  1.74964e-07            0 -4.94506e-05
5.802  1.78434e-07            0 -5.04315e-05
5.796  1.81973e-07            0 -5.14315e-05
 5.79   1.8558e-07            0  -5.2451e-05
5.784  1.89257e-07            0 -5.34904e-05
5.778  1.93007e-07            0 -5.45501e-05
5.772  1.96829e-07            0 -5.56303e-05
5.766  2.00725e-07            0 -5.67316e-05
 5.76  2.04698e-07            0 -5.78544e-05
5.754  2.08748e-07            0  -5.8999e-05
5.748  2.12876e-07            0 -6.01658e-05
5.742  2.17085e-07            0 -6.13553e-05
5.736  2.21375e-07            0  -6.2568e-05
 5.73  2.25749e-07            0 -6.38042e-05
5.724  2.30208e-07            0 -6.50644e-05
5.718  2.34753e-07            0  -6.6349e-05
5.712  2.39387e-07            0 -6.76586e-05
5.706   2.4411e-07            0 -6.89936e-05
  5.7  2.48925e-07            0 -7.03545e-05
5.694  2.53833e-07            0 -7.17417e-05
5.688  2.58837e-07            0 -7.31558e-05
5.682  2.63937e-07            0 -7.45973e-05
5.676  2.69136e-07            0 -7.60667e-05
 5.67  2.74435e-07            0 -7.75645e-05
5.664  2.79838e-07            0 -7.90913e-05
5.658  2.85344e-07            0 -8.06476e-05
5.652  2.90957e-07            0  -8.2234e-05
5.646  2.96678e-07            0 -8.38511e-05
 5.64   3.0251e-07            0 -8.54994e-05
5.634  3.08455e-07            0 -8.71795e-05
5.628  3.14514e-07            0  -8.8892e-05
5.622   3.2069e-07            0 -9.06375e-05
5.616  3.26985e-07            0 -9.24167e-05
 5.61  3.33401e-07            0 -9.42302e-05
5.604  3.39941e-07            0 -9.60787e-05
5.598  3.46607e-07            0 -9.79627e-05
5.592  3.53402e-07            0  -9.9883e-05
5.586  3.60327e-07            0  -0.00010184
 5.58  3.67385e-07            0 -0.000103835
5.574  3.74579e-07            0 -0.000105868
5.568  3.81912e-07            0 -0.000107941
5.562  3.89385e-07            0 -0.000110053
5.556  3.97001e-07            0 -0.000112206
 5.55  4.04764e-07            0   -0.0001144
5.544  4.12676e-07            0 -0.000116636
5.538   4.2074e-07            0 -0.000118915
5.532  4.28958e-07            0 -0.000121238
5.526  4.37334e-07            0 -0.000123605
 5.52   4.4587e-07            0 -0.000126017
5.514  4.54569e-07            0 -0.000128476
5.508  4.63435e-07            0 -0.000130982
5.502  4.72471e-07            0 -0.000133536
