    r     rho_a(r)         V(r)  F(rho_a(r))
    6            0            0            0
5.994            0            0            0
5.988            0            0            0
5.982            0            0            0
5.976            0            0            0
 5.97            0            0            0
5.964            0            0            0
5.958            0            0            0
5.952            0            0            0
5.946            0            0            0
 5.94            0            0            0
5.934            0            0            0
5.928            0            0            0
5.922            0            0            0
5.916            0            0            0
 5.91            0            0            0
5.904            0            0            0
5.898            0            0            0
5.892            0            0            0
5.886            0            0            0
 5.88            0            0            0
5.874            0            0            0
5.868            0            0            0
5.862            0            0            0
5.856            0            0            0
 5.85            0            0            0
5.844            0            0            0
5.838            0            0            0
5.832            0            0            0
5.826            0            0            0
 5.82            0            0            0
5.814            0            0            0
5.808            0            0            0
5.802            0  1.34084e-07            0
5.796            0  6.49668e-07            0
 5.79            0  1.32744e-06            0
5.784            0  2.29377e-06            0
5.778            0  3.67503e-06            0
5.772            0  5.59762e-06            0
5.766            0  8.18789e-06            0
 5.76            0  1.15722e-05            0
5.754            0   1.5877e-05            0
5.748            0  2.12286e-05            0
5.742            0  2.77535e-05            0
5.736            0  3.55779e-05            0
 5.73            0  4.48282e-05            0
5.724            0  5.56309e-05            0
5.718            0  6.81123e-05            0
5.712            0  8.23988e-05            0
5.706            0  9.86167e-05            0
  5.7            0  0.000116893            0
5.694            0  0.000137353            0
5.688            0  0.000160123            0
5.682            0  0.000185331            0
5.676            0  0.000213102            0
 5.67            0  0.000243562            0
5.664            0  0.000276839            0
5.658            0  0.000313058            0
5.652            0  0.000352346            0
5.646            0   0.00039483            0
 5.64            0  0.000440592            0
5.634            0  0.000489479            0
5.628            0  0.000541248            0
5.622            0  0.000595659            0
5.616            0  0.000652471            0
 5.61            0  0.000711443            0
5.604            0  0.000772335            0
5.598            0  0.000834905            0
5.592            0  0.000898913            0
5.586            0  0.000964118            0
 5.58            0   0.00103028            0
5.574            0   0.00109716            0
5.568            0   0.00116451            0
5.562            0   0.00123209            0
5.556            0   0.00129967            0
 5.55            0     0.001367            0
5.544            0   0.00143384            0
5.538            0   0.00149995            0
5.532            0   0.00156508            0
5.526            0   0.00162901            0
 5.52            0   0.00169149            0
5.514            0   0.00175227            0
5.508            0   0.00181112            0
5.502            0   0.00186779            0
5.496            0   0.00192205            0
 5.49            0   0.00197365            0
5.484            0   0.00202236            0
5.478            0   0.00206807            0
5.472            0   0.00211085            0
5.466            0   0.00215073            0
 5.46            0   0.00218778            0
5.454            0   0.00222206            0
5.448            0   0.00225361            0
5.442            0    0.0022825            0
5.436            0   0.00230879            0
 5.43            0   0.00233251            0
5.424            0   0.00235375            0
5.418            0   0.00237254            0
5.412            0   0.00238894            0
5.406            0   0.00240301            0
  5.4            0   0.00241482            0
5.394            0    0.0024244            0
5.388            0   0.00243182            0
5.382            0   0.00243714            0
5.376            0    0.0024404            0
 5.37            0   0.00244167            0
5.364            0     0.002441            0
5.358            0   0.00243845            0
5.352            0   0.00243407            0
5.346            0   0.00242792            0
 5.34            0   0.00242006            0
5.334            0   0.00241053            0
5.328            0   0.00239941            0
5.322            0   0.00238676            0
5.316            0   0.00237279            0
 5.31            0    0.0023577            0
5.304            0   0.00234171            0
5.298            0   0.00232504            0
5.292            0   0.00230788            0
5.286            0   0.00229046            0
 5.28            0     0.002273            0
5.274            0   0.00225569            0
5.268            0   0.00223876            0
5.262            0   0.00222242            0
5.256            0   0.00220687            0
 5.25            0   0.00219234            0
5.244            0   0.00217904            0
5.238            0   0.00216717            0
5.232            0   0.00215695            0
5.226            0    0.0021486            0
 5.22            0   0.00214233            0
5.214            0   0.00213834            0
5.208            0   0.00213686            0
5.202            0   0.00213809            0
5.196            0   0.00214225            0
 5.19            0   0.00214955            0
5.184            0    0.0021602            0
5.178            0   0.00217442            0
5.172            0   0.00219241            0
5.166  2.50089e-06   0.00221438 -9.94686e-06
 5.16   6.4488e-06   0.00224032  -2.5649e-05
5.154  1.03944e-05   0.00227007  -4.1342e-05
5.148  1.43363e-05   0.00230347 -5.70203e-05
5.142  1.82731e-05   0.00234037 -7.26783e-05
5.136  2.22034e-05    0.0023806 -8.83104e-05
 5.13  2.61258e-05   0.00242401 -0.000103911
5.124  3.00389e-05   0.00247044 -0.000119475
5.118  3.39412e-05   0.00251973 -0.000134995
5.112  3.78315e-05   0.00257173 -0.000150468
5.106  4.17082e-05   0.00262627 -0.000165887
  5.1  4.55699e-05   0.00268319 -0.000181246
5.094  4.94153e-05   0.00274235 -0.000196541
5.088   5.3243e-05   0.00280358 -0.000211765
5.082  5.70515e-05   0.00286671 -0.000226913
5.076  6.08394e-05   0.00293161 -0.000241978
 5.07  6.46054e-05    0.0029981 -0.000256957
5.064  6.83481e-05   0.00306602 -0.000271843
5.058  7.20659e-05   0.00313523  -0.00028663
5.052  7.57576e-05   0.00320556 -0.000301313
5.046  7.94217e-05   0.00327685 -0.000315886
 5.04  8.30568e-05   0.00334895 -0.000330344
5.034  8.66616e-05   0.00342169 -0.000344682
5.028  9.02345e-05   0.00349492 -0.000358892
5.022  9.37743e-05   0.00356849 -0.000372971
5.016  9.72794e-05   0.00364222 -0.000386912
 5.01  0.000100749   0.00371597  -0.00040071
5.004  0.000104183   0.00378958 -0.000414369
4.998  0.000107588   0.00386293 -0.000427915
4.992  0.000110973   0.00393586 -0.000441374
4.986  0.000114342   0.00400826 -0.000454777
 4.98  0.000117704   0.00407998 -0.000468149
4.974  0.000121066    0.0041509 -0.000481519
4.968  0.000124434   0.00422089 -0.000494916
4.962  0.000127816    0.0042898 -0.000508366
4.956  0.000131218    0.0043575 -0.000521899
 4.95  0.000134648   0.00442387 -0.000535541
4.944  0.000138113   0.00448877 -0.000549321
4.938  0.000141619   0.00455206 -0.000563267
4.932  0.000145174   0.00461361 -0.000577407
4.926  0.000148785    0.0046733 -0.000591768
 4.92  0.000152459   0.00473098 -0.000606379
4.914  0.000156202   0.00478652 -0.000621267
4.908  0.000160022   0.00483979 -0.000636461
4.902  0.000163926   0.00489066 -0.000651988
4.896  0.000167921   0.00493899 -0.000667876
 4.89  0.000172013   0.00498465 -0.000684154
4.884  0.000176211    0.0050275 -0.000700848
4.878   0.00018052   0.00506742 -0.000717988
4.872  0.000184948   0.00510427 -0.000735601
4.866  0.000189503   0.00513791 -0.000753715
 4.86   0.00019419   0.00516822 -0.000772358
4.854  0.000199017   0.00519506 -0.000791558
4.848  0.000203991    0.0052183 -0.000811342
4.842  0.000209119   0.00523787 -0.000831735
4.836  0.000214405    0.0052537  -0.00085276
 4.83  0.000219856   0.00526574 -0.000874441
4.824  0.000225478   0.00527394 -0.000896801
4.818  0.000231276   0.00527823 -0.000919863
4.812  0.000237257   0.00527855 -0.000943651
4.806  0.000243426   0.00527486 -0.000968187
  4.8  0.000249789   0.00526709 -0.000993495
4.794  0.000256352   0.00525518   -0.0010196
4.788  0.000263121   0.00523908  -0.00104652
4.782  0.000270102   0.00521873  -0.00107429
4.776    0.0002773   0.00519408  -0.00110292
 4.77  0.000284722   0.00516506  -0.00113243
4.764  0.000292373   0.00513161  -0.00116287
4.758  0.000300259   0.00509369  -0.00119423
4.752  0.000308386   0.00505124  -0.00122655
4.746  0.000316759   0.00500418  -0.00125986
 4.74  0.000325386   0.00495248  -0.00129417
4.734  0.000334271   0.00489607  -0.00132951
4.728  0.000343421   0.00483489   -0.0013659
4.722   0.00035284   0.00476889  -0.00140337
4.716  0.000362536   0.00469801  -0.00144193
 4.71  0.000372514   0.00462218  -0.00148162
4.704   0.00038278   0.00454137  -0.00152245
4.698  0.000393339    0.0044555  -0.00156445
4.692  0.000404198   0.00436452  -0.00160764
4.686  0.000415361   0.00426845  -0.00165204
 4.68   0.00042683   0.00416743  -0.00169765
4.674  0.000438607   0.00406158   -0.0017445
4.668  0.000450694   0.00395104  -0.00179257
4.662  0.000463094   0.00383595  -0.00184189
4.656  0.000475808   0.00371644  -0.00189246
 4.65  0.000488839   0.00359264  -0.00194429
4.644  0.000502188   0.00346469  -0.00199738
4.638  0.000515858   0.00333273  -0.00205176
4.632  0.000529851   0.00319689  -0.00210741
4.626  0.000544168   0.00305731  -0.00216436
 4.62  0.000558813   0.00291412  -0.00222261
4.614  0.000573787   0.00276745  -0.00228216
4.608  0.000589092   0.00261744  -0.00234304
4.602   0.00060473   0.00246423  -0.00240524
4.596  0.000620704   0.00230795  -0.00246878
 4.59  0.000637015   0.00214874  -0.00253365
4.584  0.000653665   0.00198672  -0.00259988
4.578  0.000670658   0.00182204  -0.00266747
4.572  0.000687994   0.00165483  -0.00273642
4.566  0.000705675   0.00148523  -0.00280675
 4.56  0.000723705   0.00131336  -0.00287847
4.554  0.000742085   0.00113938  -0.00295157
4.548  0.000760817  0.000963398  -0.00302608
4.542  0.000779903  0.000785565    -0.003102
4.536  0.000799346  0.000606013  -0.00317933
 4.53  0.000819144  0.000424876  -0.00325808
4.524  0.000839287  0.000242291   -0.0033382
4.518  0.000859761   5.8392e-05  -0.00341964
4.512  0.000880551 -0.000126684  -0.00350234
4.506  0.000901643 -0.000312801  -0.00358623
  4.5  0.000923022 -0.000499823  -0.00367127
4.494  0.000944676 -0.000687615   -0.0037574
4.488  0.000966588 -0.000876041  -0.00384457
4.482  0.000988746  -0.00106496   -0.0039327
4.476   0.00101113  -0.00125425  -0.00402176
 4.47   0.00103374  -0.00144376  -0.00411168
4.464   0.00105655  -0.00163336   -0.0042024
4.458   0.00107954  -0.00182292  -0.00429387
4.452   0.00110271  -0.00201229  -0.00438604
4.446   0.00112604  -0.00220135  -0.00447884
 4.44   0.00114952  -0.00238995  -0.00457222
4.434   0.00117312  -0.00257797  -0.00466612
4.428   0.00119685  -0.00276526  -0.00476049
4.422   0.00122067  -0.00295168  -0.00485527
4.416   0.00124459  -0.00313711   -0.0049504
 4.41   0.00126858  -0.00332141  -0.00504583
4.404   0.00129262  -0.00350444   -0.0051415
4.398   0.00131672  -0.00368607  -0.00523735
4.392   0.00134085  -0.00386615  -0.00533332
4.386   0.00136499  -0.00404456  -0.00542937
 4.38   0.00138914  -0.00422116  -0.00552543
4.374   0.00141327  -0.00439581  -0.00562145
4.368   0.00143741  -0.00456837  -0.00571745
4.362   0.00146156  -0.00473872  -0.00581352
4.356   0.00148575  -0.00490672  -0.00590976
 4.35      0.00151  -0.00507222  -0.00600624
4.344   0.00153433  -0.00523511  -0.00610305
4.338   0.00155878  -0.00539523   -0.0062003
4.332   0.00158335  -0.00555247  -0.00629806
4.326   0.00160808  -0.00570668  -0.00639643
 4.32   0.00163298  -0.00585772  -0.00649549
4.314   0.00165807  -0.00600547  -0.00659534
4.308   0.00168339  -0.00614979  -0.00669606
4.302   0.00170895  -0.00629055  -0.00679774
4.296   0.00173477   -0.0064276  -0.00690048
 4.29   0.00176088  -0.00656081  -0.00700436
4.284    0.0017873  -0.00669006  -0.00710947
4.278   0.00181405   -0.0068152   -0.0072159
4.272   0.00184115   -0.0069361  -0.00732374
4.266   0.00186863  -0.00705262  -0.00743308
 4.26   0.00189651  -0.00716464  -0.00754401
4.254   0.00192481  -0.00727201  -0.00765662
4.248   0.00195356   -0.0073746  -0.00777099
4.242   0.00198277  -0.00747228  -0.00788722
4.236   0.00201247  -0.00756491   -0.0080054
 4.23   0.00204268  -0.00765235  -0.00812562
4.224   0.00207343  -0.00773448  -0.00824796
4.218   0.00210473  -0.00781115  -0.00837252
4.212    0.0021366  -0.00788231  -0.00849934
4.206   0.00216904  -0.00794812  -0.00862841
  4.2   0.00220203  -0.00800876  -0.00875968
4.194   0.00223556  -0.00806442  -0.00889311
4.188   0.00226962  -0.00811527  -0.00902865
4.182    0.0023042  -0.00816151  -0.00916626
4.176   0.00233929  -0.00820332  -0.00930591
 4.17   0.00237488  -0.00824088  -0.00944754
4.164   0.00241095  -0.00827438  -0.00959111
4.158   0.00244751  -0.00830401  -0.00973659
4.152   0.00248453  -0.00832995  -0.00988393
4.146     0.002522  -0.00835239   -0.0100331
 4.14   0.00255993   -0.0083715    -0.010184
4.134   0.00259828  -0.00838748   -0.0103367
4.128   0.00263706  -0.00840051    -0.010491
4.122   0.00267626  -0.00841077    -0.010647
4.116   0.00271585  -0.00841846   -0.0108046
 4.11   0.00275584  -0.00842374   -0.0109638
4.104   0.00279621  -0.00842682   -0.0111245
4.098   0.00283695  -0.00842788   -0.0112867
4.092   0.00287804   -0.0084271   -0.0114503
4.086   0.00291949  -0.00842466   -0.0116153
 4.08   0.00296128  -0.00842075   -0.0117816
4.074   0.00300339  -0.00841555   -0.0119493
4.068   0.00304582  -0.00840926   -0.0121182
4.062   0.00308855  -0.00840205   -0.0122883
4.056   0.00313158  -0.00839412   -0.0124596
