shells b/t p1/p2	p1/vac	p2/vac	# of integrals
               1	     1	     1	            24
               1	     1	     2	            24
               1	     1	     3	            32
               1	     1	     4	             6
               1	     1	     5	            12
               1	     1	     6	             0
               1	     1	     7	            10
               1	     2	     1	            24
               1	     2	     2	             0
               1	     2	     3	            16
               1	     2	     4	             6
               1	     2	     5	            12
               1	     2	     6	             0
               1	     2	     7	            14
               1	     3	     1	            32
               1	     3	     2	            16
               1	     3	     3	            38
               1	     3	     4	            34
               1	     3	     5	            32
               1	     3	     6	            28
               1	     3	     7	            70
               1	     4	     1	             6
               1	     4	     2	             6
               1	     4	     3	            34
               1	     4	     4	             0
               1	     4	     5	            26
               1	     4	     6	             4
               1	     4	     7	            68
               1	     5	     1	            12
               1	     5	     2	            12
               1	     5	     3	            32
               1	     5	     4	            26
               1	     5	     5	            14
               1	     5	     6	             2
               1	     5	     7	           176
               1	     6	     1	             0
               1	     6	     2	             0
               1	     6	     3	            28
               1	     6	     4	             4
               1	     6	     5	             2
               1	     6	     6	             0
               1	     6	     7	            62
               1	     7	     1	            10
               1	     7	     2	            14
               1	     7	     3	            70
               1	     7	     4	            68
               1	     7	     5	           176
               1	     7	     6	            62
               1	     7	     7	             0
               2	     1	     1	            12
               2	     1	     2	             0
               2	     1	     3	            16
               2	     1	     4	             6
               2	     1	     5	            12
               2	     1	     6	             0
               2	     1	     7	            14
               2	     2	     1	             0
               2	     2	     2	             0
               2	     2	     3	             8
               2	     2	     4	             4
               2	     2	     5	             2
               2	     2	     6	             0
               2	     2	     7	            16
               2	     3	     1	            16
               2	     3	     2	             8
               2	     3	     3	            10
               2	     3	     4	             8
               2	     3	     5	            20
               2	     3	     6	             4
               2	     3	     7	            68
               2	     4	     1	             6
               2	     4	     2	             4
               2	     4	     3	             8
               2	     4	     4	             0
               2	     4	     5	             4
               2	     4	     6	            14
               2	     4	     7	            36
               2	     5	     1	            12
               2	     5	     2	             2
               2	     5	     3	            20
               2	     5	     4	             4
               2	     5	     5	             2
               2	     5	     6	             2
               2	     5	     7	           100
               2	     6	     1	             0
               2	     6	     2	             0
               2	     6	     3	             4
               2	     6	     4	            14
               2	     6	     5	             2
               2	     6	     6	             0
               2	     6	     7	            28
               2	     7	     1	            14
               2	     7	     2	            16
               2	     7	     3	            68
               2	     7	     4	            36
               2	     7	     5	           100
               2	     7	     6	            28
               2	     7	     7	             0
               3	     1	     1	            16
               3	     1	     2	            16
               3	     1	     3	            76
               3	     1	     4	            34
               3	     1	     5	            32
               3	     1	     6	            28
               3	     1	     7	            70
               3	     2	     1	            16
               3	     2	     2	             4
               3	     2	     3	            20
               3	     2	     4	             8
               3	     2	     5	            20
               3	     2	     6	             4
               3	     2	     7	            68
               3	     3	     1	            76
               3	     3	     2	            20
               3	     3	     3	             0
               3	     3	     4	            36
               3	     3	     5	            78
               3	     3	     6	             0
               3	     3	     7	           342
               3	     4	     1	            34
               3	     4	     2	             8
               3	     4	     3	            36
               3	     4	     4	             4
               3	     4	     5	            24
               3	     4	     6	             2
               3	     4	     7	           176
               3	     5	     1	            32
               3	     5	     2	            20
               3	     5	     3	            78
               3	     5	     4	            24
               3	     5	     5	            22
               3	     5	     6	            22
               3	     5	     7	           356
               3	     6	     1	            28
               3	     6	     2	             4
               3	     6	     3	             0
               3	     6	     4	             2
               3	     6	     5	            22
               3	     6	     6	             0
               3	     6	     7	           136
               3	     7	     1	            70
               3	     7	     2	            68
               3	     7	     3	           342
               3	     7	     4	           176
               3	     7	     5	           356
               3	     7	     6	           136
               3	     7	     7	             0
               4	     1	     1	             3
               4	     1	     2	             6
               4	     1	     3	            34
               4	     1	     4	             0
               4	     1	     5	            26
               4	     1	     6	             4
               4	     1	     7	            68
               4	     2	     1	             6
               4	     2	     2	             2
               4	     2	     3	             8
               4	     2	     4	             0
               4	     2	     5	             4
               4	     2	     6	            14
               4	     2	     7	            36
               4	     3	     1	            34
               4	     3	     2	             8
               4	     3	     3	            18
               4	     3	     4	             8
               4	     3	     5	            24
               4	     3	     6	             2
               4	     3	     7	           176
               4	     4	     1	             0
               4	     4	     2	             0
               4	     4	     3	             8
               4	     4	     4	            12
               4	     4	     5	            12
               4	     4	     6	             0
               4	     4	     7	            88
               4	     5	     1	            26
               4	     5	     2	             4
               4	     5	     3	            24
               4	     5	     4	            12
               4	     5	     5	             8
               4	     5	     6	             6
               4	     5	     7	           200
               4	     6	     1	             4
               4	     6	     2	            14
               4	     6	     3	             2
               4	     6	     4	             0
               4	     6	     5	             6
