#	T	rho	calc	hoef:
   0.300    0.900   -4.28367589   -4.16824470
   0.300    0.901   -4.27215499   -4.15765970
   0.300    0.902   -4.26045203   -4.14687595
   0.300    0.903   -4.24856323   -4.13589243
   0.300    0.904   -4.23645907   -4.12470811
   0.300    0.905   -4.22416811   -4.11332196
   0.300    0.906   -4.21166541   -4.10173293
   0.300    0.907   -4.19897574   -4.08993998
   0.300    0.908   -4.18609855   -4.07794208
   0.300    0.909   -4.17299451   -4.06573818
   0.300    0.910   -4.15971278   -4.05332722
   0.300    0.911   -4.14623029   -4.04070818
   0.300    0.912   -4.13250427   -4.02787998
   0.300    0.913   -4.11859145   -4.01484158
   0.300    0.914   -4.10447931   -4.00159192
   0.300    0.915   -4.09015717   -3.98812994
   0.300    0.916   -4.07563172   -3.97445457
   0.300    0.917   -4.06086606   -3.96056476
   0.300    0.918   -4.04590558   -3.94645943
   0.300    0.919   -4.03074801   -3.93213752
   0.300    0.920   -4.01534916   -3.91759796
   0.300    0.921   -3.99974484   -3.90283966
   0.300    0.922   -3.98392631   -3.88786155
   0.300    0.923   -3.96789666   -3.87266256
   0.300    0.924   -3.95165933   -3.85724160
   0.300    0.925   -3.93517745   -3.84159758
   0.300    0.926   -3.91847757   -3.82572942
   0.300    0.927   -3.90157654   -3.80963603
   0.300    0.928   -3.88444376   -3.79331631
   0.300    0.929   -3.86708932   -3.77676917
   0.300    0.930   -3.84950287   -3.75999352
   0.300    0.931   -3.83169037   -3.74298825
   0.300    0.932   -3.81365681   -3.72575226
   0.300    0.933   -3.79536538   -3.70828445
   0.300    0.934   -3.77686008   -3.69058370
   0.300    0.935   -3.75814492   -3.67264891
   0.300    0.936   -3.73916360   -3.65447897
   0.300    0.937   -3.71995528   -3.63607276
   0.300    0.938   -3.70051811   -3.61742915
   0.300    0.939   -3.68084571   -3.59854704
   0.300    0.940   -3.66094957   -3.57942530
   0.300    0.941   -3.64077832   -3.56006280
   0.300    0.942   -3.62037802   -3.54045842
   0.300    0.943   -3.59976735   -3.52061101
   0.300    0.944   -3.57889558   -3.50051946
   0.300    0.945   -3.55779205   -3.48018263
   0.300    0.946   -3.53644417   -3.45959937
   0.300    0.947   -3.51481193   -3.43876855
   0.300    0.948   -3.49295532   -3.41768901
   0.300    0.949   -3.47086400   -3.39635963
   0.300    0.950   -3.44848984   -3.37477924
   0.300    0.951   -3.42588434   -3.35294670
   0.300    0.952   -3.40302065   -3.33086085
   0.300    0.953   -3.37989920   -3.30852053
   0.300    0.954   -3.35654242   -3.28592460
   0.300    0.955   -3.33289948   -3.26307187
   0.300    0.956   -3.30901671   -3.23996120
   0.300    0.957   -3.28490099   -3.21659142
   0.300    0.958   -3.26049647   -3.19296134
   0.300    0.959   -3.23584437   -3.16906981
   0.300    0.960   -3.21094773   -3.14491565
   0.300    0.961   -3.18575548   -3.12049768
   0.300    0.962   -3.16029942   -3.09581472
   0.300    0.963   -3.13458845   -3.07086558
   0.300    0.964   -3.10859138   -3.04564910
   0.300    0.965   -3.08235122   -3.02016406
   0.300    0.966   -3.05586223   -2.99440930
   0.300    0.967   -3.02906148   -2.96838360
   0.300    0.968   -3.00200123   -2.94208579
   0.300    0.969   -2.97468835   -2.91551465
   0.300    0.970   -2.94707048   -2.88866899
   0.300    0.971   -2.91920504   -2.86154761
   0.300    0.972   -2.89107197   -2.83414930
   0.300    0.973   -2.86261712   -2.80647284
   0.300    0.974   -2.83391393   -2.77851704
   0.300    0.975   -2.80493817   -2.75028067
   0.300    0.976   -2.77568377   -2.72176253
   0.300    0.977   -2.74615387   -2.69296138
   0.300    0.978   -2.71628959   -2.66387601
   0.300    0.979   -2.68617039   -2.63450520
   0.300    0.980   -2.65580340   -2.60484771
   0.300    0.981   -2.62510674   -2.57490232
   0.300    0.982   -2.59413737   -2.54466779
   0.300    0.983   -2.56290499   -2.51414290
   0.300    0.984   -2.53133492   -2.48332640
   0.300    0.985   -2.49949361   -2.45221705
   0.300    0.986   -2.46737965   -2.42081361
   0.300    0.987   -2.43491371   -2.38911483
   0.300    0.988   -2.40217812   -2.35711947
   0.300    0.989   -2.36918319   -2.32482628
   0.300    0.990   -2.33584159   -2.29223400
   0.300    0.991   -2.30222639   -2.25934137
   0.300    0.992   -2.26834304   -2.22614714
