#305.825242718  8.81818181818	1.73370319001  0.00165289256198
#402.912621359  8.77851239669	1.73370319001  0.00165289256198
#531.20665742  8.72561983471	1.73370319001  0.00165289256198
#649.098474341  8.67272727273	1.73370319001  0.00165289256198
#749.653259362  8.62975206612	1.73370319001  0.00165289256198
#843.273231623  8.5867768595	1.73370319001  0.00165289256198
964.632454924  8.5305785124	1.73370319001  0.00165289256198
1082.52427184  8.47438016529	1.73370319001  0.00165289256198
1179.61165049  8.42809917355	1.73370319001  0.00165289256198
1276.69902913  8.37851239669	1.73370319001  0.00165289256198
1394.59084605  8.31570247934	1.73370319001  0.00165289256198
1509.01525659  8.25289256198	1.73370319001  0.00165289256198
1602.63522885  8.2	1.73370319001  0.00165289256198
#1647.71151179  8.17355371901	1.73370319001  0.00165289256198
1692.78779473  8.14710743802	1.73370319001  0.00165289256198
1755.20110957  8.10743801653	1.73370319001  0.00165289256198
1824.54923717  8.06446280992	1.73370319001  0.00165289256198
1904.29958391  8.00826446281	1.73370319001  0.00165289256198
1963.24549237  7.96198347107	1.73370319001  0.00165289256198
2032.59361997  7.91239669421	1.73370319001  0.00165289256198
#2095.00693481  7.84297520661	1.73370319001  0.00165289256198
#2129.68099861  7.78016528926	1.73370319001  0.00165289256198
#2136.61581137  7.69752066116	1.73370319001  0.00165289256198
#2140.08321775  7.60495867769	1.73370319001  0.00165289256198
#2143.55062413  7.53223140496	1.73370319001  0.00165289256198
#2147.01803051  7.44958677686	1.73370319001  0.00165289256198
#2160.88765603  7.35702479339	1.73370319001  0.00165289256198
#2174.75728155  7.28760330579	1.73370319001  0.00165289256198
#2205.96393897  7.21487603306	1.73370319001  0.00165289256198
