#298.890429958  8.84462809917	1.73370319001  0.00165289256198
#406.380027739  8.81157024793	1.73370319001  0.00165289256198
#510.40221914  8.78181818182	1.73370319001  0.00165289256198
#614.424410541  8.75537190083	1.73370319001  0.00165289256198
#714.979195562  8.72231404959	1.73370319001  0.00165289256198
#819.001386963  8.69256198347	1.73370319001  0.00165289256198
923.023578363  8.65950413223	1.73370319001  0.00165289256198
1023.57836338  8.62644628099	1.73370319001  0.00165289256198
1127.60055479  8.59338842975	1.73370319001  0.00165289256198
1224.68793343  8.56033057851	1.73370319001  0.00165289256198
1328.71012483  8.52396694215	1.73370319001  0.00165289256198
1429.26490985  8.48760330579	1.73370319001  0.00165289256198
1529.81969487  8.45123966942	1.73370319001  0.00165289256198
1626.90707351  8.41157024793	1.73370319001  0.00165289256198
1723.99445215  8.36859504132	1.73370319001  0.00165289256198
1744.79889043  8.35867768595	1.73370319001  0.00165289256198
1789.87517337  8.33884297521	1.73370319001  0.00165289256198
1866.15811373  8.30247933884	1.73370319001  0.00165289256198
1942.44105409  8.26611570248	1.73370319001  0.00165289256198
2018.72399445  8.22644628099	1.73370319001  0.00165289256198
#2088.07212205  8.18016528926	1.73370319001  0.00165289256198
#2157.42024965  8.12727272727	1.73370319001  0.00165289256198
#2192.09431345  8.06446280992	1.73370319001  0.00165289256198
#2199.02912621  7.97851239669	1.73370319001  0.00165289256198
#2202.49653259  7.8958677686	1.73370319001  0.00165289256198
#2216.36615811  7.8132231405	1.73370319001  0.00165289256198
#2230.23578363  7.73388429752	1.73370319001  0.00165289256198
#2254.50762829  7.65785123967	1.73370319001  0.00165289256198
