  ptcl	layer	 pnl	       d	(  l,  m,  n)	(         x,         y,         z)
     1	    1	   1	 1.12246	(  0, -1,  0)	
     2	    1	   2	 1.12246	( -1,  1,  0)	
     3	    1	   3	 1.12246	(  1, -1, -1)	
     4	    1	   4	 1.12246	(  1, -1,  0)	
     5	    1	   5	 1.12246	( -1,  1,  1)	
     6	    1	   6	 1.12246	( -1,  0,  1)	
     7	    1	   7	 1.12246	( -1,  0,  0)	
     8	    1	   8	 1.12246	(  0,  1,  0)	
     9	    1	   9	 1.12246	(  0,  0, -1)	
    10	    1	  10	 1.12246	(  0,  0,  1)	
    11	    1	  11	 1.12246	(  1,  0, -1)	
    12	    1	  12	 1.12246	(  1,  0,  0)	

    13	    2	   1	  1.5874	(  0, -1,  1)	
    14	    2	   2	  1.5874	(  0,  1, -1)	
    15	    2	   3	  1.5874	(  0, -1, -1)	
    16	    2	   4	  1.5874	( -2,  1,  1)	
    17	    2	   5	  1.5874	(  0,  1,  1)	
    18	    2	   6	  1.5874	(  2, -1, -1)	

    19	    3	   1	 1.94416	(  1, -2, -1)	
    20	    3	   2	 1.94416	(  0, -2,  0)	
    21	    3	   3	 1.94416	(  0, -2, -1)	
    22	    3	   4	 1.94416	(  0,  2,  1)	
    23	    3	   5	 1.94416	(  1, -1,  1)	
    24	    3	   6	 1.94416	(  0,  2,  0)	
    25	    3	   7	 1.94416	(  1,  1, -1)	
    26	    3	   8	 1.94416	( -1,  2,  1)	
    27	    3	   9	 1.94416	( -1,  1, -1)	
    28	    3	  10	 1.94416	( -1, -1,  1)	
    29	    3	  11	 1.94416	(  2, -1,  0)	
    30	    3	  12	 1.94416	( -2,  0,  1)	
    31	    3	  13	 1.94416	( -1,  1, -2)	
    32	    3	  14	 1.94416	(  1, -1,  2)	
    33	    3	  15	 1.94416	( -1,  0, -1)	
    34	    3	  16	 1.94416	( -1,  0, -2)	
    35	    3	  17	 1.94416	( -1, -1,  0)	
    36	    3	  18	 1.94416	(  1,  0,  1)	
    37	    3	  19	 1.94416	(  1,  0,  2)	
    38	    3	  20	 1.94416	(  1,  1,  0)	
    39	    3	  21	 1.94416	(  2,  0, -1)	
    40	    3	  22	 1.94416	(  0,  0,  2)	
    41	    3	  23	 1.94416	(  0,  0, -2)	
    42	    3	  24	 1.94416	( -2,  1,  0)	

    43	    4	   1	 2.24492	(  0,  1, -2)	
    44	    4	   2	 2.24492	(  0, -1,  2)	
    45	    4	   3	 2.24492	( -1,  2,  0)	
    46	    4	   4	 2.24492	(  2,  0,  0)	
    47	    4	   5	 2.24492	( -1, -2,  0)	
    48	    4	   6	 2.24492	(  0,  1,  2)	
    49	    4	   7	 2.24492	(  1,  2,  0)	
    50	    4	   8	 2.24492	(  1, -2,  0)	
    51	    4	   9	 2.24492	( -2,  0,  0)	
    52	    4	  10	 2.24492	(  2, -1,  2)	
    53	    4	  11	 2.24492	(  0, -1, -2)	
    54	    4	  12	 2.24492	( -2,  1, -2)	

    55	    5	   1	  2.5099	( -1, -2, -1)	
    56	    5	   2	  2.5099	(  3, -1, -1)	
    57	    5	   3	  2.5099	( -2,  0, -2)	
    58	    5	   4	  2.5099	( -1, -2,  1)	
    59	    5	   5	  2.5099	(  1,  2, -1)	
    60	    5	   6	  2.5099	( -3,  1,  1)	
    61	    5	   7	  2.5099	(  0,  2, -1)	
    62	    5	   8	  2.5099	( -2,  2,  1)	
    63	    5	   9	  2.5099	( -1, -1, -1)	
    64	    5	  10	  2.5099	( -1, -1, -2)	
    65	    5	  11	  2.5099	(  1,  0, -2)	
    66	    5	  12	  2.5099	( -1,  0,  2)	
    67	    5	  13	  2.5099	(  1,  2,  1)	
    68	    5	  14	  2.5099	(  2,  0,  2)	
    69	    5	  15	  2.5099	(  1, -1, -2)	
    70	    5	  16	  2.5099	(  1,  1,  1)	
    71	    5	  17	  2.5099	(  1,  1,  2)	
    72	    5	  18	  2.5099	( -1,  1,  2)	
    73	    5	  19	  2.5099	( -1,  2, -2)	
    74	    5	  20	  2.5099	(  0, -2,  1)	
    75	    5	  21	  2.5099	(  2, -2, -1)	
    76	    5	  22	  2.5099	(  0, -2,  2)	
    77	    5	  23	  2.5099	(  1, -2,  2)	
    78	    5	  24	  2.5099	(  0,  2, -2)	

    79	    6	   1	 2.74946	(  2, -1,  1)	
    80	    6	   2	 2.74946	(  0,  0,  3)	
    81	    6	   3	 2.74946	( -1,  3,  1)	
    82	    6	   4	 2.74946	( -2, -1,  1)	
    83	    6	   5	 2.74946	( -2,  1, -1)	
    84	    6	   6	 2.74946	(  1, -3, -1)	
    85	    6	   7	 2.74946	(  2,  1, -1)	
    86	    6	   8	 2.74946	(  0,  0, -3)	

